epoch,lr,step,test_neg_dy_l1_loss,test_total_l1_loss,test_y_l1_loss,train_neg_dy_mse_loss,train_total_mse_loss,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
0.0,6.750000011379598e-06,26,,,,399.59893798828125,399.59893798828125,0.0,15.23309326171875,400.74542236328125,15.23309326171875,400.74542236328125,0.0,0.0
1.0,1.3500000022759195e-05,53,,,,398.996826171875,398.996826171875,0.0,15.224527359008789,400.21551513671875,15.224527359008789,400.21551513671875,0.0,0.0
2.0,2.0249999579391442e-05,80,15.363154411315918,15.363154411315918,0.0,398.4833068847656,398.4833068847656,0.0,15.211427688598633,399.34222412109375,15.211427688598633,399.34222412109375,0.0,0.0
3.0,2.700000004551839e-05,107,,,,397.1593017578125,397.1593017578125,0.0,15.184008598327637,397.4651184082031,15.184008598327637,397.4651184082031,0.0,0.0
4.0,3.3749998692655936e-05,134,15.283549308776855,15.283549308776855,0.0,394.78350830078125,394.78350830078125,0.0,15.132270812988281,393.6329345703125,15.132270812988281,393.6329345703125,0.0,0.0
5.0,4.0499999158782884e-05,161,,,,390.50384521484375,390.50384521484375,0.0,15.058378219604492,388.468994140625,15.058378219604492,388.468994140625,0.0,0.0
6.0,4.724999962490983e-05,188,15.168954849243164,15.168954849243164,0.0,386.3831787109375,386.3831787109375,0.0,15.008014678955078,385.54608154296875,15.008014678955078,385.54608154296875,0.0,0.0
7.0,5.400000009103678e-05,215,,,,384.3177795410156,384.3177795410156,0.0,14.986902236938477,384.41558837890625,14.986902236938477,384.41558837890625,0.0,0.0
8.0,6.075000055716373e-05,242,15.110855102539062,15.110855102539062,0.0,382.8878173828125,382.8878173828125,0.0,14.969985961914062,383.3203430175781,14.969985961914062,383.3203430175781,0.0,0.0
9.0,6.749999738531187e-05,269,,,,381.44635009765625,381.44635009765625,0.0,14.95135498046875,382.1393127441406,14.95135498046875,382.1393127441406,0.0,0.0
10.0,7.424999785143882e-05,296,15.041296005249023,15.041296005249023,0.0,379.9150085449219,379.9150085449219,0.0,14.921649932861328,380.60797119140625,14.921649932861328,380.60797119140625,0.0,0.0
11.0,8.099999831756577e-05,323,,,,378.5616455078125,378.5616455078125,0.0,14.926639556884766,380.6939392089844,14.926639556884766,380.6939392089844,0.0,0.0
12.0,8.774999878369272e-05,350,14.989773750305176,14.989773750305176,0.0,377.37542724609375,377.37542724609375,0.0,14.880067825317383,378.2406311035156,14.880067825317383,378.2406311035156,0.0,0.0
13.0,9.449999924981967e-05,377,,,,375.657470703125,375.657470703125,0.0,14.856927871704102,376.90966796875,14.856927871704102,376.90966796875,0.0,0.0
14.0,0.00010124999971594661,404,14.93124771118164,14.93124771118164,0.0,374.2294006347656,374.2294006347656,0.0,14.832786560058594,375.5859375,14.832786560058594,375.5859375,0.0,0.0
15.0,0.00010800000018207356,431,,,,372.42694091796875,372.42694091796875,0.0,14.79387378692627,373.67047119140625,14.79387378692627,373.67047119140625,0.0,0.0
16.0,0.00011475000064820051,458,14.851234436035156,14.851234436035156,0.0,370.5646667480469,370.5646667480469,0.0,14.792190551757812,373.1844482421875,14.792190551757812,373.1844482421875,0.0,0.0
17.0,0.00012150000111432746,485,,,,368.88763427734375,368.88763427734375,0.0,14.73475456237793,370.6790466308594,14.73475456237793,370.6790466308594,0.0,0.0
18.0,0.0001282500015804544,512,14.753348350524902,14.753348350524902,0.0,366.7015380859375,366.7015380859375,0.0,14.706926345825195,369.0523681640625,14.706926345825195,369.0523681640625,0.0,0.0
19.0,0.00013499999477062374,539,,,,364.6770935058594,364.6770935058594,0.0,14.683748245239258,368.3016662597656,14.683748245239258,368.3016662597656,0.0,0.0
20.0,0.0001417500025127083,566,14.65258502960205,14.65258502960205,0.0,362.7413330078125,362.7413330078125,0.0,14.640317916870117,366.03802490234375,14.640317916870117,366.03802490234375,0.0,0.0
21.0,0.00014849999570287764,593,,,,361.065185546875,361.065185546875,0.0,14.617334365844727,365.113037109375,14.617334365844727,365.113037109375,0.0,0.0
22.0,0.0001552500034449622,620,14.623162269592285,14.623162269592285,0.0,360.2326354980469,360.2326354980469,0.0,14.597190856933594,363.75384521484375,14.597190856933594,363.75384521484375,0.0,0.0
23.0,0.00016199999663513154,647,,,,357.7705383300781,357.7705383300781,0.0,14.560674667358398,362.373779296875,14.560674667358398,362.373779296875,0.0,0.0
24.0,0.0001687500043772161,674,14.518082618713379,14.518082618713379,0.0,357.0877380371094,357.0877380371094,0.0,14.514254570007324,360.28143310546875,14.514254570007324,360.28143310546875,0.0,0.0
25.0,0.00017549999756738544,701,,,,356.43792724609375,356.43792724609375,0.0,14.516488075256348,360.228759765625,14.516488075256348,360.228759765625,0.0,0.0
26.0,0.00018225000530947,728,14.516541481018066,14.516541481018066,0.0,355.169921875,355.169921875,0.0,14.506102561950684,359.6164245605469,14.506102561950684,359.6164245605469,0.0,0.0
27.0,0.00018899999849963933,755,,,,353.39727783203125,353.39727783203125,0.0,14.461040496826172,357.3675537109375,14.461040496826172,357.3675537109375,0.0,0.0
28.0,0.0001957500062417239,782,14.43918228149414,14.43918228149414,0.0,352.2982482910156,352.2982482910156,0.0,14.448474884033203,356.91973876953125,14.448474884033203,356.91973876953125,0.0,0.0
29.0,0.00020249999943189323,809,,,,352.05120849609375,352.05120849609375,0.0,14.428874969482422,355.8244323730469,14.428874969482422,355.8244323730469,0.0,0.0
